NAME,LATITUDE,LONGITUDE,NAICS_DESC,OPER_CAP,SUMMER_CAP,WINTER_CAP,GEN_UNITS,LINES
JASPER 2,38.40037145,-86.91481415,NOT AVAILABLE,0,0,0,0,0
MOBILE,40.8667,-97.5925,FOSSIL FUEL ELECTRIC POWER GENERATION,3.1,3.1,3.1,3,0
APPLE RIVER,45.15755,-92.71621,HYDROELECTRIC POWER GENERATION,2.4,1.4,1.7,3,1
PITTSFIELD,39.6436,-90.6353,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
PEARL STATION,39.44861155,-90.61407122,FOSSIL FUEL ELECTRIC POWER GENERATION,24,20.1,22,1,0
PUTNAM,29.62828265,-81.5850965,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
WINYAH,33.33022055,-79.35774348,FOSSIL FUEL ELECTRIC POWER GENERATION,1260,1130,1150,4,1
MAYO,36.52747913,-78.89065896,FOSSIL FUEL ELECTRIC POWER GENERATION,763.2,704,713,1,1
GERMANTOWN,43.19615152,-88.15017331,FOSSIL FUEL ELECTRIC POWER GENERATION,335.7,263.6,371,5,1
OTTUMWA,41.09627195,-92.55530235,FOSSIL FUEL ELECTRIC POWER GENERATION,725.9,710.9,721.4,1,1
SCHERER,33.06100836,-83.80893796,FOSSIL FUEL ELECTRIC POWER GENERATION,3564,3440,3440,4,1
WILSON,33.1378301,-81.74828842,FOSSIL FUEL ELECTRIC POWER GENERATION,317.6,297.5,366.5,7,1
MOUNTAINEER,38.97933338,-81.93454277,FOSSIL FUEL ELECTRIC POWER GENERATION,1300,1299,1299,1,1
OZARK BEACH,36.65899,-93.1235,HYDROELECTRIC POWER GENERATION,16,16,16,4,1
KODIAK MICROGRID,57.789956,-152.396982,FOSSIL FUEL ELECTRIC POWER GENERATION,18.3,18.3,18.3,4,0
PORT LIONS MICROGRID,57.864775,-152.855441,FOSSIL FUEL ELECTRIC POWER GENERATION,0.5,0.5,0.5,1,0
SELDOVIA,59.439542,-151.713439,FOSSIL FUEL ELECTRIC POWER GENERATION,2.2,2.2,2.2,2,0
NORTH POLE,64.7351598,-147.3504676,FOSSIL FUEL ELECTRIC POWER GENERATION,181,145,189,4,0
FAIRBANKS,64.854171,-147.719351,FOSSIL FUEL ELECTRIC POWER GENERATION,42.2,36.1,41,4,0
HEALY,63.85496143,-148.9506306,FOSSIL FUEL ELECTRIC POWER GENERATION,92.8,77.8,77.8,3,0
COOPER LAKE,60.39228341,-149.6666024,HYDROELECTRIC POWER GENERATION,19.4,19.4,19.4,2,0
BERNICE LAKE,60.6935,-151.3874,FOSSIL FUEL ELECTRIC POWER GENERATION,76.7,62.4,71,3,0
INTERNATIONAL,61.168972,-149.911038,FOSSIL FUEL ELECTRIC POWER GENERATION,15,12.6,14.1,1,1
UNALAKLEET,63.876789,-160.790414,FOSSIL FUEL ELECTRIC POWER GENERATION,2,1.6,1.6,4,0
NAKNEK,58.73071443,-157.0072934,FOSSIL FUEL ELECTRIC POWER GENERATION,16.5,15.9,10.1,12,0
PURPLE LAKE,55.09266688,-131.5449304,HYDROELECTRIC POWER GENERATION,3.9,3.9,3.9,3,0
KOTZEBUE,66.837778,-162.556944,FOSSIL FUEL ELECTRIC POWER GENERATION,16.3,16.3,16.3,18,0
GLENNALLEN,62.1104269,-145.5331952,FOSSIL FUEL ELECTRIC POWER GENERATION,9.2,9,9,4,0
VALDEZ,61.1303,-146.3647,FOSSIL FUEL ELECTRIC POWER GENERATION,8.6,7.5,7.5,5,0
CHEVAK,61.52542787,-165.5899854,FOSSIL FUEL ELECTRIC POWER GENERATION,1.8,1.8,1.8,3,0
EMMONAK,62.777694,-164.531517,FOSSIL FUEL ELECTRIC POWER GENERATION,3.2,3.2,3.2,4,0
HOOPER BAY,61.53089964,-166.1018845,FOSSIL FUEL ELECTRIC POWER GENERATION,2.2,2.2,2.2,4,0
KIANA,66.97388305,-160.4286931,FOSSIL FUEL ELECTRIC POWER GENERATION,1.2,1.2,1.2,3,0
MOUNTAIN VILLAGE,62.085569,-163.729072,FOSSIL FUEL ELECTRIC POWER GENERATION,2.3,2.3,2.3,4,0
NOORVIK,66.83448331,-161.0388181,FOSSIL FUEL ELECTRIC POWER GENERATION,1.5,1.5,1.5,3,0
NUNAPITCHUK,60.89588,-162.459756,FOSSIL FUEL ELECTRIC POWER GENERATION,0.5,0.5,0.5,1,0
ST MARYS IC,62.05153095,-163.1729061,FOSSIL FUEL ELECTRIC POWER GENERATION,6.5,2,2,3,0
SELAWIK,66.60642108,-160.0153731,FOSSIL FUEL ELECTRIC POWER GENERATION,2.2,1.8,1.8,3,0
SHISHMAREF,66.255072,-166.073589,FOSSIL FUEL ELECTRIC POWER GENERATION,1.5,1.5,1.5,4,0
TOGIAK,59.05984513,-160.3803077,FOSSIL FUEL ELECTRIC POWER GENERATION,2.8,2.8,2.8,4,0
SIXTH STREET GAS TURBINE,42.79265,-86.10358,FOSSIL FUEL ELECTRIC POWER GENERATION,24,16,20,1,0
HUTCHINSON PLANT #2,44.88888,-94.34935,FOSSIL FUEL ELECTRIC POWER GENERATION,90.5,73,75.3,3,1
DETOUR,45.983763,-83.907893,FOSSIL FUEL ELECTRIC POWER GENERATION,6,5,5,2,1
ROKEBY,40.7316,-96.7364,FOSSIL FUEL ELECTRIC POWER GENERATION,266.1,258.3,262.2,4,1
OCRACOKE,35.10940889,-75.98039501,FOSSIL FUEL ELECTRIC POWER GENERATION,4,4,4,2,1
DWIGHT,42.14967251,-72.61033729,HYDROELECTRIC POWER GENERATION,1.2,1.2,1.2,3,0
INDIAN ORCHARD,42.16095,-72.50763,HYDROELECTRIC POWER GENERATION,3.7,3.7,3.7,2,0
TURNERS FALLS,42.605882,-72.564815,HYDROELECTRIC POWER GENERATION,5.7,6.4,6.4,5,0
TANGIER,37.82767145,-75.99133225,FOSSIL FUEL ELECTRIC POWER GENERATION,2.4,2.4,2.4,2,1
SMITH ISLAND,37.99550837,-76.03888183,FOSSIL FUEL ELECTRIC POWER GENERATION,1.7,1.6,1.6,2,0
WESTFORD SOLAR PARK,42.63639,-71.41944,SOLAR ELECTRIC POWER GENERATION,4,4,4,1,0
BROKEN BOW DAM,34.13879148,-94.68447843,HYDROELECTRIC POWER GENERATION,100,115,115,2,1
CENTER HILL,36.09738437,-85.82727165,HYDROELECTRIC POWER GENERATION,140,154,154,3,1
CHEATHAM,36.31907647,-87.22357327,HYDROELECTRIC POWER GENERATION,36,41.4,41.4,3,1
EUFAULA DAM,35.30684763,-95.35738182,HYDROELECTRIC POWER GENERATION,90,103.5,103.5,3,1
QUEENS CREEK,35.27297955,-83.67496233,HYDROELECTRIC POWER GENERATION,1.4,1.4,1.4,1,1
WILSON DAM,34.79604388,-87.62491841,HYDROELECTRIC POWER GENERATION,666.7,667.5,662.8,21,1
PROCTOR,43.66324854,-73.03500786,HYDROELECTRIC POWER GENERATION,6.9,6.5,6.6,5,0
BELDENS,44.052058,-73.17645848,HYDROELECTRIC POWER GENERATION,5.7,4.4,5.7,3,1
CARVER FALLS,43.62706346,-73.30808433,HYDROELECTRIC POWER GENERATION,1.9,1.9,1.9,2,1
RIVER BEND,30.75659099,-91.33143931,NUCLEAR ELECTRIC POWER GENERATION,1035.9,967.5,967,1,1
AMES GT,42.02689103,-93.58301391,FOSSIL FUEL ELECTRIC POWER GENERATION,78.7,40.9,19.5,2,1
ANTELOPE VALLEY,47.37053365,-101.8373587,FOSSIL FUEL ELECTRIC POWER GENERATION,954,900,900,2,1
PORT ALLEN (HI),21.899583,-159.585042,FOSSIL FUEL ELECTRIC POWER GENERATION,89.5,80.1,80.1,11,1
GORGE 18,44.48991522,-73.16930525,HYDROELECTRIC POWER GENERATION,3,3,3,1,1
SHIPMAN,19.7239,-155.069,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
MCINDOES,44.26003588,-72.05954264,HYDROELECTRIC POWER GENERATION,10.4,10.2,10.8,4,0
MILL C,44.69680137,-73.61199084,HYDROELECTRIC POWER GENERATION,6,6,6,3,0
MAALAEA,20.80117,-156.492981,FOSSIL FUEL ELECTRIC POWER GENERATION,229.8,197.9,197.9,21,1
KEOWEE,34.79826102,-82.88727725,HYDROELECTRIC POWER GENERATION,157.6,152,152,2,1
VERGENNES 9,44.16637016,-73.25773619,FOSSIL FUEL ELECTRIC POWER GENERATION,6.4,6.4,6.4,5,1
WATERBURY 22,44.38126,-72.76769,HYDROELECTRIC POWER GENERATION,5.5,5,5,1,0
YARDS CREEK,41.00094264,-75.03167126,HYDROELECTRIC POWER GENERATION,453,420,420,3,1
RAINBOW FALLS AUSCBLE,44.52402703,-73.46200423,HYDROELECTRIC POWER GENERATION,2.6,2.6,2.6,2,1
E J WEST,43.31864716,-73.92090359,HYDROELECTRIC POWER GENERATION,22,20.6,22.1,2,1
SEARSBURG,42.87080952,-72.92723533,HYDROELECTRIC POWER GENERATION,4,4.5,4.6,1,1
DAM NO. 4 HYDRO STATION,39.49306,-77.82694,HYDROELECTRIC POWER GENERATION,1.9,1.9,1.9,3,0
DAM NO. 5 HYDRO STATION,39.605,-77.92306,HYDROELECTRIC POWER GENERATION,1,1,1,2,0
MILLVILLE HYDRO STATION,39.27306,-77.78444,HYDROELECTRIC POWER GENERATION,2.8,2.4,3,3,0
WAVERLY MUNICIPAL ELECTRIC NORTH PLANT,42.73579389,-92.47005421,FOSSIL FUEL ELECTRIC POWER GENERATION,25.1,25.1,25.1,8,1
MCGRATH,62.95694836,-155.5948542,FOSSIL FUEL ELECTRIC POWER GENERATION,2.2,2.2,2.2,4,0
D G HUNTER,31.32089876,-92.46181858,FOSSIL FUEL ELECTRIC POWER GENERATION,65.1,60.2,60.2,7,1
GEORGE M SULLIVAN GENERATION PLANT 2,61.22958213,-149.71744,FOSSIL FUEL ELECTRIC POWER GENERATION,346.9,309.3,297.3,5,0
LONDON,38.1915149,-81.37027283,HYDROELECTRIC POWER GENERATION,14.4,14.4,14.4,3,0
MARMET,38.2526,-81.5695,HYDROELECTRIC POWER GENERATION,14.4,14.4,14.4,3,0
WINFIELD,38.52468732,-81.91201771,HYDROELECTRIC POWER GENERATION,24.5,18.7,24.3,3,1
UNIONVILLE,40.45942138,-93.02175157,FOSSIL FUEL ELECTRIC POWER GENERATION,53.2,44,44,2,1
BERLIN,38.327936,-75.21719609,FOSSIL FUEL ELECTRIC POWER GENERATION,5.6,5.6,5.6,3,0
BETHEL,60.7897,-161.787778,FOSSIL FUEL ELECTRIC POWER GENERATION,12.6,12.6,12.6,6,0
BLOCK ISLAND,41.17556,-71.5711,FOSSIL FUEL ELECTRIC POWER GENERATION,7.1,7.1,7.1,4,0
JOHNSON,37.56689599,-101.7510591,FOSSIL FUEL ELECTRIC POWER GENERATION,6,6,6,2,0
BEAVER FALLS,55.37975,-131.470269,HYDROELECTRIC POWER GENERATION,5.4,5.4,4.6,3,0
SILVIS,55.381402,-131.517758,HYDROELECTRIC POWER GENERATION,2.1,2.1,2.1,1,0
CUDJOE,24.66712975,-81.50898896,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
STOCK ISLAND,24.56317782,-81.73413915,FOSSIL FUEL ELECTRIC POWER GENERATION,126.5,114.5,114.5,7,1
COMMERCIAL STREET,42.49734691,-70.85278074,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
WILKINS STATION,42.5139,-70.8547,FOSSIL FUEL ELECTRIC POWER GENERATION,5.4,5,5,2,0
ROCKPORT,40.404594,-95.51374548,NOT AVAILABLE,0,0,0,0,1
SOUTH NORWALK ELECTRIC,41.09552739,-73.42302677,NOT AVAILABLE,0,0,0,0,0
HIGHGATE FALLS,44.93371432,-73.05096026,HYDROELECTRIC POWER GENERATION,11.6,9.8,9.8,5,0
GAVINS POINT,42.84883,-97.48148,HYDROELECTRIC POWER GENERATION,132.3,102,102,3,0
A L PIERCE,41.44826457,-72.83488769,FOSSIL FUEL ELECTRIC POWER GENERATION,84,74.1,94.6,1,1
LAKE LYNN HYDRO STATION,39.72014199,-79.85632415,HYDROELECTRIC POWER GENERATION,51.2,52,52,4,1
YAKUTAT,59.544553,-139.724306,FOSSIL FUEL ELECTRIC POWER GENERATION,3.8,3.8,3.8,4,0
R D GREEN,37.64530582,-87.50058469,FOSSIL FUEL ELECTRIC POWER GENERATION,586,454,454,2,0
INDEPENDENCE STEAM ELECTRIC STATION,35.67844,-91.40876,FOSSIL FUEL ELECTRIC POWER GENERATION,1800,1663.7,1663.7,2,1
MEXICO,39.14822718,-91.83106348,FOSSIL FUEL ELECTRIC POWER GENERATION,60.7,54,69,1,1
MOBERLY,39.42414113,-92.48447721,FOSSIL FUEL ELECTRIC POWER GENERATION,60.6,54,69,1,1
MOREAU,38.55571558,-92.10229148,FOSSIL FUEL ELECTRIC POWER GENERATION,60.8,54,69,1,1
LOUISA,41.31740023,-91.09330916,FOSSIL FUEL ELECTRIC POWER GENERATION,811.9,744.2,744.2,1,1
PELICAN,57.95726838,-136.219976,FOSSIL FUEL ELECTRIC POWER GENERATION,2.4,1.6,1.6,5,0
WARRICK,37.91494051,-87.33244308,FOSSIL FUEL ELECTRIC POWER GENERATION,822.8,721.5,744.6,4,1
THIBODAUX,29.79917,-90.80972,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
ROCK LAKE CT,45.80544,-92.97176,FOSSIL FUEL ELECTRIC POWER GENERATION,25,20.5,29.4,1,1
SIKESTON POWER STATION,36.87892889,-89.62237599,FOSSIL FUEL ELECTRIC POWER GENERATION,261,240,240,1,1
HUGO,34.01599799,-95.321256,FOSSIL FUEL ELECTRIC POWER GENERATION,446,440,440,1,1
WEST STATION (NJ),39.4912,-75.0486,FOSSIL FUEL ELECTRIC POWER GENERATION,27,22.9,27.4,1,0
ST STEPHEN,33.42674271,-79.93101727,HYDROELECTRIC POWER GENERATION,84,84,84,3,1
AUGUSTA ELECTRIC PLANT NO 2,37.68593031,-96.96487721,FOSSIL FUEL ELECTRIC POWER GENERATION,20.7,20.1,20.1,4,1
JARVIS STREET,57.05024133,-135.3126037,FOSSIL FUEL ELECTRIC POWER GENERATION,25.6,25.1,25.1,5,0
D B WILSON,37.44822473,-87.08000514,FOSSIL FUEL ELECTRIC POWER GENERATION,509.4,417,417,1,1
ST BONIFACIUS,44.90503,-93.82076,FOSSIL FUEL ELECTRIC POWER GENERATION,61.2,59.9,66,1,1
HUGOTON 2,37.16424734,-101.3401553,FOSSIL FUEL ELECTRIC POWER GENERATION,19.2,17.3,17.3,7,0
EAST 12TH STREET,37.2367,-96.9625,FOSSIL FUEL ELECTRIC POWER GENERATION,28.1,27.4,30.2,2,1
CHANUTE 3,37.63725736,-95.47056418,FOSSIL FUEL ELECTRIC POWER GENERATION,34.8,32.1,32.1,5,1
GRAVEL NECK,37.15764277,-76.69073237,FOSSIL FUEL ELECTRIC POWER GENERATION,407.7,368,428,6,1
ELLIS HYDRO,35.35136,-94.29435,HYDROELECTRIC POWER GENERATION,32.4,17,17,3,1
HUMPBACK CREEK,60.612822,-145.679411,HYDROELECTRIC POWER GENERATION,1.2,1,1,3,0
BATES MILL UPPER,44.09575865,-70.21891006,HYDROELECTRIC POWER GENERATION,0,0,0,0,0
HILL MILL,44.09295633,-70.21672757,HYDROELECTRIC POWER GENERATION,0,0,0,0,0
WRIGHTSVILLE HYDRO PLANT,44.30874181,-72.57595173,HYDROELECTRIC POWER GENERATION,1,0.7,0.7,3,1
BOLTON FALLS,44.35929503,-72.81656362,HYDROELECTRIC POWER GENERATION,8.8,7.8,7.8,2,1
SOLON DIESEL,46.35897358,-91.8236187,FOSSIL FUEL ELECTRIC POWER GENERATION,8,6.4,6.4,8,1
SIBLEY NO TWO,43.39658622,-95.75047898,FOSSIL FUEL ELECTRIC POWER GENERATION,1.1,1,1.1,1,0
MCINTOSH (AL),31.2546,-88.0299,FOSSIL FUEL ELECTRIC POWER GENERATION,676,688,798,5,1
CENTENNIAL,55.12134972,-131.5601361,FOSSIL FUEL ELECTRIC POWER GENERATION,3.3,3.3,3.3,1,0
HOIST,46.56292747,-87.56864278,HYDROELECTRIC POWER GENERATION,3.4,2,1.3,2,0
MCCLURE DAM,46.57154478,-87.47660203,HYDROELECTRIC POWER GENERATION,8,5.8,4.6,2,0
CATARACT (MI),46.31769696,-87.50271691,HYDROELECTRIC POWER GENERATION,2,0.6,0.3,1,0
GLADSTONE,45.84743378,-87.00358099,FOSSIL FUEL ELECTRIC POWER GENERATION,22.6,17,22.2,1,1
BAD CREEK,35.0075,-82.9975,HYDROELECTRIC POWER GENERATION,1392,1440,1440,4,1
WILLIAM F MATSON GENERATING STATION,40.43292,-78.00289,HYDROELECTRIC POWER GENERATION,21.7,8.4,21.7,2,1
PUNA,19.6316,-155.0313,FOSSIL FUEL ELECTRIC POWER GENERATION,39.1,34,34,2,1
WHILLOCK,35.12759,-92.79027,HYDROELECTRIC POWER GENERATION,32.4,17,17,3,1
GRINNELL,41.75293458,-92.74880444,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
FORKED RIVER,39.8154,-74.2098,FOSSIL FUEL ELECTRIC POWER GENERATION,76.8,65,85,2,1
PLEASANT HILL,41.55638898,-93.52392905,FOSSIL FUEL ELECTRIC POWER GENERATION,179.8,156.2,194,3,1
WADING RIVER,40.95693,-72.87741,FOSSIL FUEL ELECTRIC POWER GENERATION,238.5,240.6,296.5,3,1
HAY ROAD,39.74381931,-75.50646914,FOSSIL FUEL ELECTRIC POWER GENERATION,1193,1136,1136,8,1
LIME CREEK,43.24765853,-93.2047742,FOSSIL FUEL ELECTRIC POWER GENERATION,90.2,73.3,88.5,2,1
WOODSDALE,39.4492,-84.4611,FOSSIL FUEL ELECTRIC POWER GENERATION,571.8,476,564,6,1
CONCORD,43.16799559,-88.68691967,FOSSIL FUEL ELECTRIC POWER GENERATION,381.6,364.4,400,4,1
MURRAY,34.79579036,-92.35707132,HYDROELECTRIC POWER GENERATION,45.4,42.4,42.4,2,1
CHESTER LAKE,55.11697418,-131.5461407,HYDROELECTRIC POWER GENERATION,1.3,1.2,1.2,1,0
NORTHWAY,62.96158579,-141.9369525,FOSSIL FUEL ELECTRIC POWER GENERATION,1.1,0.9,0.9,3,0
BARROW,71.2920928,-156.7774864,FOSSIL FUEL ELECTRIC POWER GENERATION,20.3,20.3,22.3,7,0
GWITCHYAA ZHEE,66.566287,-145.253052,FOSSIL FUEL ELECTRIC POWER GENERATION,2.8,1.2,1.8,4,0
ANIAK,61.58071369,-159.5346793,FOSSIL FUEL ELECTRIC POWER GENERATION,1.7,1.4,1.5,3,0
NEWHALEN,59.89918963,-154.6986351,FOSSIL FUEL ELECTRIC POWER GENERATION,1.7,1.7,1.7,5,0
CONOCO,36.69424865,-97.08772297,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
TALLASSEE HYDRO PROJECT,33.98890373,-83.49852852,HYDROELECTRIC POWER GENERATION,2.3,2.1,2.1,2,1
SOUTH FOND DU LAC,43.73537213,-88.49644183,FOSSIL FUEL ELECTRIC POWER GENERATION,381.6,324.9,365.8,4,1
COPE,33.36525556,-81.03110046,FOSSIL FUEL ELECTRIC POWER GENERATION,417.3,415,415,1,1
DARBYTOWN,37.49893741,-77.36801652,FOSSIL FUEL ELECTRIC POWER GENERATION,368.4,336,387,4,1
CLOVER,36.86900357,-78.70471503,FOSSIL FUEL ELECTRIC POWER GENERATION,848,877,881,2,1
ANGUS ANSON,43.60355892,-96.63477103,FOSSIL FUEL ELECTRIC POWER GENERATION,405.7,327,386,3,1
CANE ISLAND,28.27629953,-81.53287165,FOSSIL FUEL ELECTRIC POWER GENERATION,706,679,749,7,1
POLK,27.72655236,-81.98951599,FOSSIL FUEL ELECTRIC POWER GENERATION,1492.5,1281,1420,7,1
DAM 2,33.9865,-91.31579,HYDROELECTRIC POWER GENERATION,102.6,35,35,3,1
WATERTOWN POWER PLANT,44.90173061,-97.10846785,FOSSIL FUEL ELECTRIC POWER GENERATION,67.5,50,60,1,1
AUKE BAY,58.38743576,-134.644757,FOSSIL FUEL ELECTRIC POWER GENERATION,36.2,28.3,28.3,3,0
MIKI BASIN,20.79,-156.9342,FOSSIL FUEL ELECTRIC POWER GENERATION,10.4,10.2,10.2,8,0
491 E 48TH STREET,42.75660888,-86.08487218,FOSSIL FUEL ELECTRIC POWER GENERATION,161.7,145,161.5,3,1
PARIS (WI),42.6658,-88.0131,FOSSIL FUEL ELECTRIC POWER GENERATION,381.6,367.8,400,4,1
LINCOLN COMBUSTION,35.43204859,-81.03587889,FOSSIL FUEL ELECTRIC POWER GENERATION,1753.6,1161,1507,16,1
O'SHAUGHNESSY HYDRO,40.15400215,-83.12542227,HYDROELECTRIC POWER GENERATION,5.2,5.2,5.2,2,0
GARDNER ENERGY CENTER,38.81229051,-94.89851874,FOSSIL FUEL ELECTRIC POWER GENERATION,39.2,27,28,2,1
PARAGOULD TURBINE,36.02427,-90.50917289,FOSSIL FUEL ELECTRIC POWER GENERATION,13.9,13.8,13.8,5,1
RICHARD GORSUCH,39.36646615,-81.518457,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
SHERMAN AVENUE,39.45091434,-75.05785711,FOSSIL FUEL ELECTRIC POWER GENERATION,112.8,86.9,99,1,1
CENTRAL ENERGY PLANT,28.42641987,-81.58070528,FOSSIL FUEL ELECTRIC POWER GENERATION,70,56,56,2,1
STATE LINE COMBINED CYCLE,37.06682741,-94.61317288,FOSSIL FUEL ELECTRIC POWER GENERATION,690.5,589,599,4,1
MADISON UTILITIES,41.82991719,-97.45628576,FOSSIL FUEL ELECTRIC POWER GENERATION,5.8,4.6,4.6,4,0
HINES ENERGY COMPLEX,27.78924699,-81.86950153,FOSSIL FUEL ELECTRIC POWER GENERATION,2266.3,2061,2169,12,1
PALMYRA MUNICIPAL 2,39.8004306,-91.52502592,NOT AVAILABLE,0,0,0,0,0
RICHARD M FLYNN,40.8158,-73.064,FOSSIL FUEL ELECTRIC POWER GENERATION,170,136.9,162.7,2,1
VAN SANT STATION,39.14504,-75.54817,FOSSIL FUEL ELECTRIC POWER GENERATION,45.1,44.4,47.2,1,0
RICHMOND,39.83969373,-84.9663748,FOSSIL FUEL ELECTRIC POWER GENERATION,82.8,68,84,2,1
ANDERSON,40.05278579,-85.73972091,FOSSIL FUEL ELECTRIC POWER GENERATION,168.7,140,174,3,1
FLORENCE,43.70933811,-73.06312971,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
WELLINGTON 2,37.26783867,-97.34978031,FOSSIL FUEL ELECTRIC POWER GENERATION,20,21,21,1,0
GEORGE NEAL SOUTH,42.29958039,-96.36152174,FOSSIL FUEL ELECTRIC POWER GENERATION,695.9,653.8,653.8,1,1
UNIVERSITY OF FLORIDA,29.64025521,-82.34874262,FOSSIL FUEL ELECTRIC POWER GENERATION,54.2,44,50,1,1
ROBINS,32.57928752,-83.58235682,FOSSIL FUEL ELECTRIC POWER GENERATION,183.8,160,186,2,1
LINCOLN TURBINES,44.61108426,-87.55851443,WIND ELECTRIC POWER GENERATION,0,0,0,0,0
BRADLEY LAKE,59.77862,-150.94015,HYDROELECTRIC POWER GENERATION,126,126,126,2,0
ALLIANT TECHSYSTEMS,44.92647497,-93.39211583,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
UNITED HEALTH CARE,44.98796013,-93.36210634,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
UNITED HOSPITAL,44.94361538,-93.10762782,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
MIDULLA GENERATING STATION,27.6413668,-81.96183331,FOSSIL FUEL ELECTRIC POWER GENERATION,853.3,813,893,8,1
SEARSBURG WIND TURBINE,42.86256969,-72.96287725,WIND ELECTRIC POWER GENERATION,6,5.2,5,1,0
INDIAN TRAILS COGEN 1,40.5578593,-89.66393586,NOT AVAILABLE,0,0,0,0,0
POPLAR BLUFF GENERATING STATION,36.75971904,-90.39012174,FOSSIL FUEL ELECTRIC POWER GENERATION,34.1,33.8,33.8,5,1
LAKIN MUNICIPAL,37.9419052,-101.2501105,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
FRONT STREET,42.14893471,-72.59002588,FOSSIL FUEL ELECTRIC POWER GENERATION,8.1,8.4,8.4,3,0
FALLING SPRING,39.93970664,-77.65695798,FOSSIL FUEL ELECTRIC POWER GENERATION,7.2,7.1,7.1,3,0
WATER STREET STATION,43.581047,-83.897368,FOSSIL FUEL ELECTRIC POWER GENERATION,12.6,12,12,2,0
HENRY STATION,43.59514641,-83.89972515,FOSSIL FUEL ELECTRIC POWER GENERATION,15.4,15,15,2,0
SALISBURY CITY OF,39.4236,-92.8028,FOSSIL FUEL ELECTRIC POWER GENERATION,6.4,5.2,6,4,0
SHELBINA POWER #1,39.6947423,-92.04708429,FOSSIL FUEL ELECTRIC POWER GENERATION,4.6,4.6,4.6,2,0
SHELBINA POWER #2,39.69478037,-92.04719851,FOSSIL FUEL ELECTRIC POWER GENERATION,6.6,6.6,6.6,4,0
THORNE BAY PLANT,55.68586,-132.52892,FOSSIL FUEL ELECTRIC POWER GENERATION,1,1,1,2,0
LAKEFIELD UTILITIES,43.674158,-95.170605,FOSSIL FUEL ELECTRIC POWER GENERATION,3.4,3,3,2,0
INTERSTATE,39.8233,-89.5891,FOSSIL FUEL ELECTRIC POWER GENERATION,138.6,108,111,1,1
EDENTON GENERATORS,36.02863708,-76.57197789,FOSSIL FUEL ELECTRIC POWER GENERATION,2.4,2.4,2.4,2,0
OXFORD (KS),37.282364,-97.162678,FOSSIL FUEL ELECTRIC POWER GENERATION,5.1,4.8,4.8,3,0
GALENA ELECTRIC UTILITY,64.74402723,-156.8736,FOSSIL FUEL ELECTRIC POWER GENERATION,3.9,3.9,3.9,5,0
CHURCH STREET PLANT,38.7522551,-77.46265999,FOSSIL FUEL ELECTRIC POWER GENERATION,4.3,4,4,3,0
GODWIN DRIVE PLANT,38.74966387,-77.50577582,FOSSIL FUEL ELECTRIC POWER GENERATION,6.3,6,6,4,0
VMEA 1 CREDIT GEN,38.74040301,-77.50839442,FOSSIL FUEL ELECTRIC POWER GENERATION,13.2,12.3,12.3,8,0
VMEA PEAKING GEN,38.73998779,-77.50921652,FOSSIL FUEL ELECTRIC POWER GENERATION,6.4,6,6,4,0
PRATT 2,37.6369246,-98.74316746,FOSSIL FUEL ELECTRIC POWER GENERATION,16,15.2,15.2,2,1
ANGOON,57.49814521,-134.5854333,FOSSIL FUEL ELECTRIC POWER GENERATION,1.5,1.5,1.5,3,0
HOONAH,58.106432,-135.43074,FOSSIL FUEL ELECTRIC POWER GENERATION,2,2,2,3,0
KAKE,56.962983,-133.922557,FOSSIL FUEL ELECTRIC POWER GENERATION,3.1,3.1,3.1,5,0
KLAWOCK,55.557778,-132.981389,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
MARCELINE,39.71718,-92.947175,FOSSIL FUEL ELECTRIC POWER GENERATION,8,8,8,4,1
UPPER STERLING,41.78712,-89.67753,HYDROELECTRIC POWER GENERATION,2.2,2,2,2,0
NORTH ROAD PEAK,33.54487394,-80.91069172,FOSSIL FUEL ELECTRIC POWER GENERATION,14,13,14,2,1
ROWESVILLE RD PLANT,33.4376801,-80.84927242,FOSSIL FUEL ELECTRIC POWER GENERATION,9.6,8.4,9.6,2,1
CITY LIGHT & WATER,40.32780238,-98.45041658,FOSSIL FUEL ELECTRIC POWER GENERATION,1.3,1.3,1.3,2,0
NSB ATQASUK UTILITY,70.4826,-157.4252,FOSSIL FUEL ELECTRIC POWER GENERATION,3.2,3.2,3.2,5,0
